Тема;Ссылка
"Ученые заявили о резком снижении госпитализаций при заражении ""омикроном""";https://ria.ru/20211222/gospitalizatsii-1764970528.html
Посол РФ назвал блокировку RT DE попыткой устранить сильного конкурента;https://radiosputnik.ria.ru/20211222/nechaev-1764970035.html
Багдад сообщил о завершении вывода боевых подразделений коалиции из Ирака;https://ria.ru/20211222/koalitsiya-1764969940.html
Британский регулятор рекомендовал вакцину Pfizer для детей 5-11 лет;https://ria.ru/20211222/deti-1764968508.html
Путин провел переговоры с премьером Люксембурга;https://ria.ru/20211222/peregovory-1764966838.html
В Раде описали сценарии урегулирования конфликта в Донбассе;https://ria.ru/20211222/donbass-1764965518.html
Эксперт ВОЗ заявил, что мир еще даже не приблизился к концу пандемии;https://ria.ru/20211222/pandemiya-1764965096.html
В США проверят электромобили Tesla из-за видеоигр за рулем;https://ria.ru/20211222/tesla-1764963948.html
Россия призвала США разморозить активы Афганистана;https://ria.ru/20211222/afganistan-1764962887.html
Лукашенко оценил рассказ сбежавшего в Белоруссию польского солдата;https://ria.ru/20211222/soldat-1764961626.html
Посол в Берлине выразил озабоченность прекращением трансляции RT DE;https://ria.ru/20211222/rt-1764962440.html
На авиарейсе из французского Нанта объявили ЧС;https://ria.ru/20211222/aviareys-1764959264.html
Российские военные в сирийской Изре получили подарки от московских властей;https://ria.ru/20211222/siriya-1764958319.html
В Австрии ужесточат ограничения из-за COVID-19;https://ria.ru/20211222/koronavirus-1764957967.html
Медведев раскритиковал попытки стран определять климатическую повестку;https://ria.ru/20211222/klimat-1764956195.html
Лавров заявил о попытках Запада обеспечить доминирование за счет ЮНЕСКО;https://ria.ru/20211222/yunesko-1764955979.html
СБ ООН принял резолюцию о том, что выплаты Афганистану не запрещены;https://ria.ru/20211222/afganistan-1764955354.html
Горсовет Полтавы не смог уволить мэра за слова о Донбассе;https://radiosputnik.ria.ru/20211222/poltava-1764953229.html
В Хорватии рассказали, как Россия начала тектонический сдвиг сил в Европе;https://ria.ru/20211222/nato-1764950599.html
Врачи предупредили о похожем на сепсис опасном последствии COVID-19 у детей;https://ria.ru/20211222/koronavirus-1764949867.html
